시도,시군구,업종,월구분,사업자수,매출액(원)
강원특별자치도,고성군,건설업,전월,1310,20116910760
강원특별자치도,고성군,건설업,당월,1291,21307747155
강원특별자치도,고성군,경비·청소용역업,전월,15,45953114
강원특별자치도,고성군,경비·청소용역업,당월,15,48409252
강원특별자치도,고성군,광고업,전월,1275,12011018491
강원특별자치도,고성군,광고업,당월,1300,11953872514
강원특별자치도,고성군,광업,전월,454,3899668681
강원특별자치도,고성군,광업,당월,458,4044742776
강원특별자치도,고성군,교육서비스업,전월,76,688705313
강원특별자치도,고성군,교육서비스업,당월,76,741841370
강원특별자치도,고성군,금융업,전월,775,1652440114
강원특별자치도,고성군,금융업,당월,779,1581976441
강원특별자치도,고성군,노래연습장업,전월,1250,3419938082
강원특별자치도,고성군,노래연습장업,당월,1242,3296204905
강원특별자치도,고성군,농업,전월,983,12868991001
강원특별자치도,고성군,농업,당월,967,12822750810
강원특별자치도,고성군,데이터서비스업,전월,920,5869965536
강원특별자치도,고성군,데이터서비스업,당월,911,6035012713
강원특별자치도,고성군,도소매업,전월,476,3921032297
강원특별자치도,고성군,도소매업,당월,468,4157599683
강원특별자치도,고성군,디자인업,전월,1265,7445037961
강원특별자치도,고성군,디자인업,당월,1265,7754297792
강원특별자치도,고성군,물류창고업,전월,678,10664667054
강원특별자치도,고성군,물류창고업,당월,690,11098958543
강원특별자치도,고성군,미용업,전월,1247,18318999383
강원특별자치도,고성군,미용업,당월,1238,17799078719
강원특별자치도,고성군,법무·회계서비스업,전월,1330,19194773610
강원특별자치도,고성군,법무·회계서비스업,당월,1309,19455029454
강원특별자치도,고성군,병원·의원업,전월,952,11115498313
강원특별자치도,고성군,병원·의원업,당월,957,11265337275
강원특별자치도,고성군,보건업,전월,72,1240881806
강원특별자치도,고성군,보건업,당월,71,1228425169
강원특별자치도,고성군,보험업,전월,1289,10390866608
강원특별자치도,고성군,보험업,당월,1275,11060513967
강원특별자치도,고성군,부동산업,전월,1025,7676379885
강원특별자치도,고성군,부동산업,당월,1032,7339402182
강원특별자치도,고성군,사회복지서비스업,전월,626,6263887110
강원특별자치도,고성군,사회복지서비스업,당월,621,6204133032
강원특별자치도,고성군,서비스업,전월,535,2245232110
강원특별자치도,고성군,서비스업,당월,541,2435843502
강원특별자치도,고성군,세탁업,전월,1307,7617644534
강원특별자치도,고성군,세탁업,당월,1290,7379147082
강원특별자치도,고성군,소프트웨어개발업,전월,1088,9030494899
강원특별자치도,고성군,소프트웨어개발업,당월,1076,9231209373
강원특별자치도,고성군,수도·하수·폐기물처리업,전월,306,1697103493
강원특별자치도,고성군,수도·하수·폐기물처리업,당월,302,1689713995
강원특별자치도,고성군,숙박업,전월,38,589138574
강원특별자치도,고성군,숙박업,당월,38,583757480
강원특별자치도,고성군,식품제조업,전월,538,2530565396
강원특별자치도,고성군,식품제조업,당월,547,2503837673
강원특별자치도,고성군,약국업,전월,245,803969421
강원특별자치도,고성군,약국업,당월,244,810161498
강원특별자치도,고성군,어업,전월,78,281073420
강원특별자치도,고성군,어업,당월,77,295963773
강원특별자치도,고성군,여행업,전월,422,5946859345
강원특별자치도,고성군,여행업,당월,423,6212472165
강원특별자치도,고성군,연구개발업,전월,1304,12361644275
강원특별자치도,고성군,연구개발업,당월,1289,12483147246
강원특별자치도,고성군,영상·방송업,전월,75,906513663
강원특별자치도,고성군,영상·방송업,당월,75,885829910
강원특별자치도,고성군,예술·스포츠·여가서비스업,전월,274,4362283469
강원특별자치도,고성군,예술·스포츠·여가서비스업,당월,277,4519014247
강원특별자치도,고성군,온라인쇼핑업,전월,642,5881330211
강원특별자치도,고성군,온라인쇼핑업,당월,631,6176866124
강원특별자치도,고성군,운수업,전월,1096,3780996300
강원특별자치도,고성군,운수업,당월,1091,4050079714
강원특별자치도,고성군,음식점업,전월,85,618588289
강원특별자치도,고성군,음식점업,당월,85,642013245
강원특별자치도,고성군,임업,전월,162,404816098
강원특별자치도,고성군,임업,당월,164,421033038
강원특별자치도,고성군,자동차판매·정비업,전월,185,1053010475
강원특별자치도,고성군,자동차판매·정비업,당월,185,1010311013
강원특별자치도,고성군,전기·가스·증기·공급업,전월,49,616428867
강원특별자치도,고성군,전기·가스·증기·공급업,당월,48,596984214
강원특별자치도,고성군,전문서비스업,전월,299,1366104520
강원특별자치도,고성군,전문서비스업,당월,299,1302451947
강원특별자치도,고성군,정보통신업,전월,426,1858676701
강원특별자치도,고성군,정보통신업,당월,432,1947953545
강원특별자치도,고성군,제과·베이커리업,전월,1261,10867701928
강원특별자치도,고성군,제과·베이커리업,당월,1275,11682407575
강원특별자치도,고성군,제조업,전월,406,2137905235
강원특별자치도,고성군,제조업,당월,405,2095244906
강원특별자치도,고성군,출판업,전월,335,714218600
강원특별자치도,고성군,출판업,당월,329,736896163
강원특별자치도,고성군,커피전문점업,전월,460,4974437471
강원특별자치도,고성군,커피전문점업,당월,461,5028721361
강원특별자치도,고성군,패션·의류제조업,전월,256,2638337371
강원특별자치도,고성군,패션·의류제조업,당월,254,2530055575
강원특별자치도,고성군,편의점업,전월,192,951838333
강원특별자치도,고성군,편의점업,당월,192,1006488125
강원특별자치도,고성군,학원업,전월,412,4381352781
강원특별자치도,고성군,학원업,당월,417,4311189827
강원특별자치도,고성군,헬스·피트니스업,전월,1093,18480341449
강원특별자치도,고성군,헬스·피트니스업,당월,1080,19621895542
강원특별자치도,고성군,화장품·뷰티업,전월,1156,9366730958
강원특별자치도,고성군,화장품·뷰티업,당월,1158,9622599456
강원특별자치도,동해시,가전제품유통업,전월,304,5200234659
강원특별자치도,동해시,가전제품유통업,당월,308,5511514439
강원특별자치도,동해시,건설업,전월,1071,4344394381
강원특별자치도,동해시,건설업,당월,1082,4416239207
강원특별자치도,동해시,경비·청소용역업,전월,777,9716371378
강원특별자치도,동해시,경비·청소용역업,당월,769,9609580898
강원특별자치도,동해시,광고업,전월,446,7802202561
강원특별자치도,동해시,광고업,당월,452,8426126562
강원특별자치도,동해시,광업,전월,742,11200953160
강원특별자치도,동해시,광업,당월,752,12061050163
강원특별자치도,동해시,교육서비스업,전월,1070,10600430991
강원특별자치도,동해시,교육서비스업,당월,1063,10565114840
강원특별자치도,동해시,금융업,전월,151,1716128437
강원특별자치도,동해시,금융업,당월,151,1815606708
강원특별자치도,동해시,노래연습장업,전월,552,5651041320
강원특별자치도,동해시,노래연습장업,당월,557,5763051174
강원특별자치도,동해시,농업,전월,802,11938242002
강원특별자치도,동해시,농업,당월,793,12637622479
강원특별자치도,동해시,데이터서비스업,전월,1157,17086890932
강원특별자치도,동해시,데이터서비스업,당월,1170,17893835176
강원특별자치도,동해시,도소매업,전월,976,15560531520
강원특별자치도,동해시,도소매업,당월,958,14590634259
강원특별자치도,동해시,디자인업,전월,938,2815476134
강원특별자치도,동해시,디자인업,당월,953,2924905375
강원특별자치도,동해시,물류창고업,전월,869,10522929360
강원특별자치도,동해시,물류창고업,당월,879,10317794740
강원특별자치도,동해시,미용업,전월,1302,8367226798
강원특별자치도,동해시,미용업,당월,1278,8134287393
강원특별자치도,동해시,법무·회계서비스업,전월,396,1883507842
강원특별자치도,동해시,법무·회계서비스업,당월,396,1872264146
강원특별자치도,동해시,병원·의원업,전월,837,4599750437
강원특별자치도,동해시,병원·의원업,당월,844,4936522915
강원특별자치도,동해시,보건업,전월,238,656992485
강원특별자치도,동해시,보건업,당월,240,702459834
강원특별자치도,동해시,보험업,전월,875,7387114396
강원특별자치도,동해시,보험업,당월,886,7810184550
강원특별자치도,동해시,부동산업,전월,1194,7356509672
강원특별자치도,동해시,부동산업,당월,1183,7056654711
강원특별자치도,동해시,사회복지서비스업,전월,1307,11405656161
강원특별자치도,동해시,사회복지서비스업,당월,1316,12419934614
강원특별자치도,동해시,서비스업,전월,268,1946298621
강원특별자치도,동해시,서비스업,당월,264,1961295559
강원특별자치도,동해시,세탁업,전월,810,2232866219
강원특별자치도,동해시,세탁업,당월,814,2433447580
강원특별자치도,동해시,소프트웨어개발업,전월,952,4190853705
강원특별자치도,동해시,소프트웨어개발업,당월,962,4286943864
강원특별자치도,동해시,수도·하수·폐기물처리업,전월,1162,10576028189
강원특별자치도,동해시,수도·하수·폐기물처리업,당월,1167,11627511695
강원특별자치도,동해시,숙박업,전월,588,4480040677
강원특별자치도,동해시,숙박업,당월,584,4699536846
강원특별자치도,동해시,식품제조업,전월,187,1791880101
강원특별자치도,동해시,식품제조업,당월,185,1751633400
강원특별자치도,동해시,약국업,전월,214,1473657542
강원특별자치도,동해시,약국업,당월,216,1573907658
강원특별자치도,동해시,어업,전월,220,3235233549
강원특별자치도,동해시,어업,당월,222,3260872704
강원특별자치도,동해시,여행업,전월,685,6971757961
강원특별자치도,동해시,여행업,당월,694,7105096513
강원특별자치도,동해시,연구개발업,전월,801,9161857089
강원특별자치도,동해시,연구개발업,당월,796,9635258508
강원특별자치도,동해시,영상·방송업,전월,210,1019203450
강원특별자치도,동해시,영상·방송업,당월,206,1005976998
강원특별자치도,동해시,예술·스포츠·여가서비스업,전월,392,6902587541
강원특별자치도,동해시,예술·스포츠·여가서비스업,당월,391,7454400640
강원특별자치도,동해시,온라인쇼핑업,전월,202,2928982606
강원특별자치도,동해시,온라인쇼핑업,당월,198,2997558835
강원특별자치도,동해시,운수업,전월,113,661510504
강원특별자치도,동해시,운수업,당월,111,672199162
강원특별자치도,동해시,음식점업,전월,762,11104110054
강원특별자치도,동해시,음식점업,당월,750,11399604977
강원특별자치도,동해시,임업,전월,576,2239222555
강원특별자치도,동해시,임업,당월,581,2256525832
강원특별자치도,동해시,자동차판매·정비업,전월,1157,10566216109
강원특별자치도,동해시,자동차판매·정비업,당월,1163,10664169079
강원특별자치도,동해시,전기·가스·증기·공급업,전월,507,5002143786
강원특별자치도,동해시,전기·가스·증기·공급업,당월,515,5048183683
강원특별자치도,동해시,전문서비스업,전월,467,3252006219
강원특별자치도,동해시,전문서비스업,당월,473,3226222713
강원특별자치도,동해시,정보통신업,전월,382,2377604677
강원특별자치도,동해시,정보통신업,당월,377,2446289534
강원특별자치도,동해시,제과·베이커리업,전월,1089,17577157225
강원특별자치도,동해시,제과·베이커리업,당월,1096,19054022453
강원특별자치도,동해시,제조업,전월,324,991761695
강원특별자치도,동해시,제조업,당월,320,977564864
강원특별자치도,동해시,출판업,전월,43,184231697
강원특별자치도,동해시,출판업,당월,44,199994168
강원특별자치도,동해시,커피전문점업,전월,80,748896997
강원특별자치도,동해시,커피전문점업,당월,79,787326856
강원특별자치도,동해시,패션·의류제조업,전월,774,11759223269
강원특별자치도,동해시,패션·의류제조업,당월,771,11217939792
강원특별자치도,동해시,편의점업,전월,418,5624883263
강원특별자치도,동해시,편의점업,당월,418,5698666121
강원특별자치도,동해시,학원업,전월,1278,13243771436
강원특별자치도,동해시,학원업,당월,1272,12715389556
강원특별자치도,동해시,헬스·피트니스업,전월,1306,15726737327
강원특별자치도,동해시,헬스·피트니스업,당월,1326,15752795994
강원특별자치도,동해시,화장품·뷰티업,전월,717,11541544813
강원특별자치도,동해시,화장품·뷰티업,당월,727,12056349335
강원특별자치도,삼척시,가전제품유통업,전월,1246,9221062339
강원특별자치도,삼척시,가전제품유통업,당월,1246,9663220067
강원특별자치도,삼척시,건설업,전월,18,112392176
강원특별자치도,삼척시,건설업,당월,18,112817931
강원특별자치도,삼척시,경비·청소용역업,전월,1306,16436761724
강원특별자치도,삼척시,경비·청소용역업,당월,1326,17666937872
강원특별자치도,삼척시,광고업,전월,17,156090726
강원특별자치도,삼척시,광고업,당월,17,164673865
강원특별자치도,삼척시,광업,전월,481,2020472039
강원특별자치도,삼척시,광업,당월,485,1941260721
강원특별자치도,삼척시,교육서비스업,전월,587,5959887227
강원특별자치도,삼척시,교육서비스업,당월,588,6336150166
강원특별자치도,삼척시,금융업,전월,751,10487914607
강원특별자치도,삼척시,금융업,당월,761,11291924270
강원특별자치도,삼척시,노래연습장업,전월,501,2547513528
강원특별자치도,삼척시,노래연습장업,당월,508,2586697756
강원특별자치도,삼척시,농업,전월,737,8667130340
강원특별자치도,삼척시,농업,당월,735,8783805558
강원특별자치도,삼척시,데이터서비스업,전월,367,6082224432
강원특별자치도,삼척시,데이터서비스업,당월,361,6221019458
강원특별자치도,삼척시,도소매업,전월,247,3530660065
강원특별자치도,삼척시,도소매업,당월,249,3762776468
강원특별자치도,삼척시,디자인업,전월,24,404873547
강원특별자치도,삼척시,디자인업,당월,24,399690204
강원특별자치도,삼척시,물류창고업,전월,1331,5686550589
강원특별자치도,삼척시,물류창고업,당월,1344,5836048026
강원특별자치도,삼척시,미용업,전월,652,1756292201
강원특별자치도,삼척시,미용업,당월,650,1923281731
강원특별자치도,삼척시,법무·회계서비스업,전월,98,956756773
강원특별자치도,삼척시,법무·회계서비스업,당월,97,986518402
강원특별자치도,삼척시,병원·의원업,전월,1023,3164169877
강원특별자치도,삼척시,병원·의원업,당월,1003,2962547462
강원특별자치도,삼척시,보건업,전월,397,2678339791
강원특별자치도,삼척시,보건업,당월,392,2621938934
강원특별자치도,삼척시,보험업,전월,623,3244740927
강원특별자치도,삼척시,보험업,당월,626,3309486698
강원특별자치도,삼척시,부동산업,전월,489,2736761489
강원특별자치도,삼척시,부동산업,당월,491,2612417617
강원특별자치도,삼척시,사회복지서비스업,전월,112,1478132349
강원특별자치도,삼척시,사회복지서비스업,당월,112,1615124454
강원특별자치도,삼척시,서비스업,전월,241,4309587674
강원특별자치도,삼척시,서비스업,당월,242,4342336984
강원특별자치도,삼척시,세탁업,전월,40,329332421
강원특별자치도,삼척시,세탁업,당월,39,322141842
강원특별자치도,삼척시,소프트웨어개발업,전월,243,1527529408
강원특별자치도,삼척시,소프트웨어개발업,당월,238,1618249103
강원특별자치도,삼척시,수도·하수·폐기물처리업,전월,1039,5955097056
강원특별자치도,삼척시,수도·하수·폐기물처리업,당월,1049,5905971715
강원특별자치도,삼척시,숙박업,전월,106,1011514629
강원특별자치도,삼척시,숙박업,당월,104,987434684
강원특별자치도,삼척시,식품제조업,전월,1229,8837439153
강원특별자치도,삼척시,식품제조업,당월,1231,8930208691
강원특별자치도,삼척시,약국업,전월,324,5580334732
강원특별자치도,삼척시,약국업,당월,319,5281438766
강원특별자치도,삼척시,어업,전월,1346,19595751395
강원특별자치도,삼척시,어업,당월,1363,20884150832
강원특별자치도,삼척시,여행업,전월,284,2191795002
강원특별자치도,삼척시,여행업,당월,279,2260546873
강원특별자치도,삼척시,연구개발업,전월,1219,19377351499
강원특별자치도,삼척시,연구개발업,당월,1203,18843174386
강원특별자치도,삼척시,영상·방송업,전월,914,14720984539
강원특별자치도,삼척시,영상·방송업,당월,910,14500787975
강원특별자치도,삼척시,예술·스포츠·여가서비스업,전월,987,6764995636
강원특별자치도,삼척시,예술·스포츠·여가서비스업,당월,979,7226547827
강원특별자치도,삼척시,온라인쇼핑업,전월,690,9107133671
강원특별자치도,삼척시,온라인쇼핑업,당월,700,9934944672
강원특별자치도,삼척시,운수업,전월,963,10214448402
강원특별자치도,삼척시,운수업,당월,975,10911116116
강원특별자치도,삼척시,음식점업,전월,382,2482567147
강원특별자치도,삼척시,음식점업,당월,375,2655521729
강원특별자치도,삼척시,임업,전월,1246,21196110759
강원특별자치도,삼척시,임업,당월,1229,19891741551
강원특별자치도,삼척시,자동차판매·정비업,전월,992,16805118721
강원특별자치도,삼척시,자동차판매·정비업,당월,1003,16213398036
강원특별자치도,삼척시,전기·가스·증기·공급업,전월,1095,18843452474
강원특별자치도,삼척시,전기·가스·증기·공급업,당월,1100,19324843780
강원특별자치도,삼척시,전문서비스업,전월,1156,18621103929
강원특별자치도,삼척시,전문서비스업,당월,1157,19360813479
강원특별자치도,삼척시,정보통신업,전월,842,14927469245
강원특별자치도,삼척시,정보통신업,당월,858,15591485952
강원특별자치도,삼척시,제과·베이커리업,전월,1158,4473027663
강원특별자치도,삼척시,제과·베이커리업,당월,1168,4878898667
강원특별자치도,삼척시,제조업,전월,1035,18019380212
강원특별자치도,삼척시,제조업,당월,1022,16951246788
강원특별자치도,삼척시,출판업,전월,46,130367264
강원특별자치도,삼척시,출판업,당월,45,127315976
강원특별자치도,삼척시,커피전문점업,전월,408,3241040548
강원특별자치도,삼척시,커피전문점업,당월,403,3291434733
강원특별자치도,삼척시,패션·의류제조업,전월,358,908679760
강원특별자치도,삼척시,패션·의류제조업,당월,356,939130346
강원특별자치도,삼척시,편의점업,전월,1241,14901563335
강원특별자치도,삼척시,편의점업,당월,1236,14115888490
강원특별자치도,삼척시,학원업,전월,141,580653120
강원특별자치도,삼척시,학원업,당월,143,621188905
강원특별자치도,삼척시,헬스·피트니스업,전월,1062,16080896020
강원특별자치도,삼척시,헬스·피트니스업,당월,1081,17096761140
강원특별자치도,삼척시,화장품·뷰티업,전월,336,5454816715
강원특별자치도,삼척시,화장품·뷰티업,당월,340,5966821381
강원특별자치도,속초시,가전제품유통업,전월,449,6136451308
강원특별자치도,속초시,가전제품유통업,당월,444,6125219506
강원특별자치도,속초시,건설업,전월,527,1624763314
강원특별자치도,속초시,건설업,당월,524,1597945512
강원특별자치도,속초시,경비·청소용역업,전월,642,3895059686
강원특별자치도,속초시,경비·청소용역업,당월,632,3935513219
강원특별자치도,속초시,광고업,전월,640,7870458878
강원특별자치도,속초시,광고업,당월,642,8342671001
강원특별자치도,속초시,광업,전월,810,4107214210
강원특별자치도,속초시,광업,당월,811,4352798798
강원특별자치도,속초시,교육서비스업,전월,405,884719703
강원특별자치도,속초시,교육서비스업,당월,411,862186397
강원특별자치도,속초시,금융업,전월,291,4834952390
강원특별자치도,속초시,금융업,당월,286,4586610466
강원특별자치도,속초시,노래연습장업,전월,1308,19634516272
강원특별자치도,속초시,노래연습장업,당월,1303,20003238642
강원특별자치도,속초시,농업,전월,367,4437701302
강원특별자치도,속초시,농업,당월,367,4827113101
강원특별자치도,속초시,데이터서비스업,전월,449,3166398809
강원특별자치도,속초시,데이터서비스업,당월,449,3263725348
강원특별자치도,속초시,도소매업,전월,986,14729954578
강원특별자치도,속초시,도소매업,당월,977,14063579734
강원특별자치도,속초시,디자인업,전월,531,3615299607
강원특별자치도,속초시,디자인업,당월,532,3711242881
강원특별자치도,속초시,물류창고업,전월,824,3484222532
강원특별자치도,속초시,물류창고업,당월,808,3383443873
강원특별자치도,속초시,미용업,전월,673,2469029829
강원특별자치도,속초시,미용업,당월,685,2591267200
강원특별자치도,속초시,법무·회계서비스업,전월,296,3059615266
강원특별자치도,속초시,법무·회계서비스업,당월,294,3225826305
강원특별자치도,속초시,병원·의원업,전월,831,11989184055
강원특별자치도,속초시,병원·의원업,당월,843,11819750688
강원특별자치도,속초시,보건업,전월,129,449095292
강원특별자치도,속초시,보건업,당월,127,472603404
강원특별자치도,속초시,보험업,전월,988,2719396563
강원특별자치도,속초시,보험업,당월,989,2690681967
강원특별자치도,속초시,부동산업,전월,877,11729169934
강원특별자치도,속초시,부동산업,당월,891,12734907618
강원특별자치도,속초시,사회복지서비스업,전월,458,1967951930
강원특별자치도,속초시,사회복지서비스업,당월,451,1998180797
강원특별자치도,속초시,서비스업,전월,29,197345239
강원특별자치도,속초시,서비스업,당월,29,196778363
강원특별자치도,속초시,세탁업,전월,901,4383832252
강원특별자치도,속초시,세탁업,당월,884,4614514285
강원특별자치도,속초시,소프트웨어개발업,전월,957,9273918244
강원특별자치도,속초시,소프트웨어개발업,당월,969,9801694978
강원특별자치도,속초시,수도·하수·폐기물처리업,전월,241,1671163081
강원특별자치도,속초시,수도·하수·폐기물처리업,당월,244,1653596175
강원특별자치도,속초시,숙박업,전월,1077,16774281280
강원특별자치도,속초시,숙박업,당월,1057,16260456190
강원특별자치도,속초시,식품제조업,전월,103,1844057418
강원특별자치도,속초시,식품제조업,당월,103,1963930337
강원특별자치도,속초시,약국업,전월,665,1864686972
강원특별자치도,속초시,약국업,당월,659,1799205900
강원특별자치도,속초시,어업,전월,1257,11683653475
강원특별자치도,속초시,어업,당월,1265,11588606771
강원특별자치도,속초시,여행업,전월,941,12660717103
강원특별자치도,속초시,여행업,당월,946,13572359917
강원특별자치도,속초시,연구개발업,전월,509,1750755320
강원특별자치도,속초시,연구개발업,당월,499,1720160021
강원특별자치도,속초시,영상·방송업,전월,73,891455411
강원특별자치도,속초시,영상·방송업,당월,72,919843418
강원특별자치도,속초시,예술·스포츠·여가서비스업,전월,1265,14536136344
강원특별자치도,속초시,예술·스포츠·여가서비스업,당월,1259,15248406276
강원특별자치도,속초시,온라인쇼핑업,전월,1120,8871385392
강원특별자치도,속초시,온라인쇼핑업,당월,1120,8993015805
강원특별자치도,속초시,운수업,전월,281,2965191710
강원특별자치도,속초시,운수업,당월,286,3028151094
강원특별자치도,속초시,음식점업,전월,232,2244986494
강원특별자치도,속초시,음식점업,당월,230,2370524357
강원특별자치도,속초시,임업,전월,553,2922332134
강원특별자치도,속초시,임업,당월,547,3097122111
강원특별자치도,속초시,자동차판매·정비업,전월,560,5826957937
강원특별자치도,속초시,자동차판매·정비업,당월,551,6152413028
강원특별자치도,속초시,전기·가스·증기·공급업,전월,607,5625641121
강원특별자치도,속초시,전기·가스·증기·공급업,당월,606,5705859677
강원특별자치도,속초시,전문서비스업,전월,1282,17307243883
강원특별자치도,속초시,전문서비스업,당월,1292,18797807609
강원특별자치도,속초시,정보통신업,전월,206,2781816508
강원특별자치도,속초시,정보통신업,당월,207,2669443657
강원특별자치도,속초시,제과·베이커리업,전월,830,13852146842
강원특별자치도,속초시,제과·베이커리업,당월,830,13575378622
강원특별자치도,속초시,제조업,전월,521,5776104549
강원특별자치도,속초시,제조업,당월,515,5551662435
강원특별자치도,속초시,출판업,전월,1178,15707751376
강원특별자치도,속초시,출판업,당월,1197,16515515946
강원특별자치도,속초시,커피전문점업,전월,856,4553010306
